OBJECTID,Leg_Name,LegB_Name,Active_ind,In_Effect_Desc,Shape.STLength()
228,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,4046.8240043165815
229,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,2670.584997788955
230,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,7045.404266164685
231,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,123188.56362037119
232,Public - Private Land Boundaries,,,April 1 2026 to March 31 2027,4017.1461036560995
233,State Street,,,April 1 2026 to March 31 2027,482.6088792470504
234,Dry Gulch Road Extension,,,April 1 2026 to March 31 2027,3970.9107656395827
235,Fourth Street,,,April 1 2026 to March 31 2027,1501.1798262337797
236,Lake Osoyoos,Eastern Shoreline,,April 1 2026 to March 31 2027,27311.44406005836
237,Nine Mile Road,,,April 1 2026 to March 31 2027,14536.81137343312
238,Tunk Valley Bridge,,,April 1 2026 to March 31 2027,134.84216064795132
239,Fourth Street,,,April 1 2026 to March 31 2027,203.26488382632195
240,US Forest Service Road 64,,,April 1 2026 to March 31 2027,43491.73590244955
241,Washington-Oregon border,,,April 1 2026 to March 31 2027,53309.84804301294
242,Butte Creek,,,April 1 2026 to March 31 2027,26186.223467447853
243,US Forest Service Road 46,,,April 1 2026 to March 31 2027,53199.022336028145
244,US Forest Service Road 4608,,,April 1 2026 to March 31 2027,31546.984006520528
245,US Forest Service Trail 3112,East Butte Creek Trail,,April 1 2026 to March 31 2027,12226.1222091414
246,US Forest Service Trail 3112,East Butte Creek Trail,,April 1 2026 to March 31 2027,13918.81885108348
247,US Forest Service Road 4030,,,April 1 2026 to March 31 2027,24101.95851589904
248,US Forest Service Road 40,Mountain Road,,April 1 2026 to March 31 2027,51240.77650446363
249,US Forest Service Road 4039,South Boundary Road,,April 1 2026 to March 31 2027,42054.79272792828
250,US Forest Service Road 3133,Three Forks Trail,,April 1 2026 to March 31 2027,13697.499588679286
251,US Forest Service Road 3100,,,April 1 2026 to March 31 2027,12468.70992598871
252,Washington-Oregon border,,,April 1 2026 to March 31 2027,37225.05820234707
253,Power Lines,,,April 1 2026 to March 31 2027,50228.1075741462
254,Ruby Creek Road,US Forest Service Road 2489,,April 1 2026 to March 31 2027,46600.78278884255
255,Tacoma Creek Road,US Forest Service Road 2389,,April 1 2026 to March 31 2027,64288.2212432568
256,US Forest Service boundary,,,April 1 2026 to March 31 2027,1903.9357766829896
257,US Forest Service boundary,,,April 1 2026 to March 31 2027,1284.6116289699653
258,US Forest Service boundary,,,April 1 2026 to March 31 2027,783.7342427668315
259,US Forest Service boundary,,,April 1 2026 to March 31 2027,784.2302695313906
260,US Forest Service boundary,,,April 1 2026 to March 31 2027,813.5535593995787
261,US Forest Service boundary,,,April 1 2026 to March 31 2027,3124.109668350226
262,US Forest Service boundary,,,April 1 2026 to March 31 2027,135.7367048672252
263,US Forest Service boundary,,,April 1 2026 to March 31 2027,4364.120299812378
264,US Forest Service boundary,,,April 1 2026 to March 31 2027,2982.6948339141595
265,US Forest Service boundary,,,April 1 2026 to March 31 2027,5240.328657812761
266,US Forest Service boundary,,,April 1 2026 to March 31 2027,3.2249674155056476
